Game1Row,Game1Col,Game2Row,Game2Col
T,T,H,T
H,T,T,T
T,T,H,T
H,T,T,H
T,H,T,T
T,H,H,T
H,H,H,T
T,T,H,H
T,H,H,T
T,H,H,T
T,T,T,H
H,T,H,T
H,T,T,H
T,T,H,T
T,T,H,H
T,T,H,H
H,T,T,H
T,T,H,T
T,H,T,H
H,H,H,T
H,T,T,T
H,T,H,T
T,T,T,H
H,T,T,T
H,H,H,H
H,T,T,T
H,T,H,T
T,T,T,H
H,T,T,T
H,H,H,H
H,T,H,H
H,H,H,T
T,H,H,H
T,H,T,T
T,T,H,H
H,T,H,H
T,T,H,T
H,T,T,H
T,H,T,H
H,H,H,T
H,H,T,H
H,H,H,H
H,H,T,H
T,H,H,H
T,H,H,T
H,T,T,T
H,T,H,H
T,T,T,H
H,T,H,T
T,H,H,H
T,T,H,H
T,H,T,T
H,H,T,T
T,T,T,H
T,H,T,H
T,H,H,T
H,H,H,H
H,T,T,T
H,T,T,T
T,H,T,T
T,H,T,T
H,H,T,T
T,T,T,T
T,H,T,T
H,H,T,H
T,T,T,H
T,H,H,T
T,H,H,T
H,H,T,T
T,T,H,T
T,T,T,H
T,H,T,H
T,H,T,H
T,H,H,H
T,H,T,H
T,H,T,H
H,T,T,T
H,T,T,H
H,H,H,H
H,H,T,H
T,T,T,T
T,T,H,H
H,T,H,H
T,H,H,H
H,H,H,H
H,H,H,T
H,H,T,H
T,T,H,H
H,T,T,H
T,H,T,T
H,H,H,T
T,H,T,H
T,H,T,T
H,H,T,T
H,H,T,H
T,T,H,T
H,T,H,T
H,H,T,T
T,H,H,T
T,H,T,H
H,T,H,H
H,T,H,H
T,H,T,H
T,H,T,H
H,H,T,T
T,H,H,H
T,H,H,T
H,H,T,H
H,H,T,H
T,H,H,T
T,T,H,H
T,T,T,H
T,T,T,H
H,H,T,H
T,H,T,H
H,H,T,T
H,H,H,T
H,T,T,H
H,H,T,T
H,T,H,H
T,T,H,H
H,T,H,H
H,H,H,H
H,H,T,T
T,T,T,T
H,T,H,H
T,T,H,H
H,H,H,H
T,T,H,T
T,T,H,T
T,T,T,H
H,T,T,H
H,T,H,H
T,H,T,H
H,T,H,H
T,T,H,H
T,T,H,H
H,T,T,T
H,T,H,H
H,T,H,H
H,H,T,T
T,H,T,T
H,H,H,T
H,H,T,T
T,H,T,H
H,H,T,H
H,H,H,T
T,H,H,T
T,T,T,H
H,T,H,T
H,H,H,H
T,H,H,H
H,T,H,H
T,H,T,T
H,H,H,H
H,H,H,T
T,H,H,T
H,H,H,T
T,H,T,H
T,T,H,H
